細學類,細學類名稱,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生
03191,發展研究細學類,社會與區域發展學系多元文化與發展碩士在職專班,N 職,M 碩士,39,3,36,2,11,1,15,-,6,-,2,-,1,-,1,-,-,-,-
03191,發展研究細學類,社會與區域發展學系社會學習領域教學碩士學位班,N 職,M 碩士,8,2,6,-,-,-,-,-,-,1,1,-,1,1,4,-,-,-,-
03191,發展研究細學類,社會與區域發展學系社會學習領域碩士在職專班,N 職,M 碩士,41,6,35,1,14,4,10,1,6,-,5,-,-,-,-,-,-,-,-
03191,發展研究細學類,區域與社會發展學系,D 日,M 碩士,26,9,17,3,4,1,9,2,2,3,2,-,-,-,-,-,-,-,-
03191,發展研究細學類,區域與社會發展學系,D 日,B 學士,188,78,110,22,24,20,27,19,26,13,32,-,-,-,-,-,-,4,1
03191,發展研究細學類,區域與社會發展學系,N 職,M 碩士,62,8,54,1,18,2,14,1,14,2,3,1,4,1,1,-,-,-,-
03191,發展研究細學類,國家發展研究所,D 日,D 博士,79,55,24,6,2,2,2,9,3,6,7,9,3,9,2,14,5,-,-
03191,發展研究細學類,國家發展研究所,D 日,M 碩士,283,168,115,40,22,53,29,36,25,39,39,-,-,-,-,-,-,-,-
03191,發展研究細學類,國家發展研究所,N 職,M 碩士,88,50,38,16,13,20,11,10,12,2,-,1,1,1,1,-,-,-,-
03191,發展研究細學類,勞工關係學系,D 日,M 碩士,53,18,35,6,13,8,8,3,7,1,7,-,-,-,-,-,-,-,-
03191,發展研究細學類,勞工關係學系,D 日,B 學士,190,63,127,16,36,15,33,15,25,15,31,-,-,-,-,-,-,2,2
03191,發展研究細學類,勞工關係學系,N 職,M 碩士,80,23,57,7,21,4,25,5,7,5,4,2,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,人權碩士學位學程,D 日,M 碩士,27,10,17,4,4,3,4,1,5,2,4,-,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,公共與文化事務學系,D 日,B 學士,192,95,97,22,23,20,25,26,20,21,26,-,-,-,-,-,-,6,3
03199,其他社會及行為科學細學類,公共與文化事務學系,N 職,M 碩士,64,34,30,14,13,9,14,5,2,2,-,1,-,2,-,1,1,-,-
03199,其他社會及行為科學細學類,公共與文化事務學系南島文化研究碩士班,D 日,M 碩士,27,10,17,2,7,1,1,5,6,2,3,-,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,公共與文化事務學系區域發展與社會創新碩士班,D 日,M 碩士,13,7,6,3,3,2,1,1,1,1,1,-,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,民族事務與發展學系,D 日,M 碩士,38,14,24,4,4,-,6,5,5,3,4,-,4,2,1,-,-,-,-
03199,其他社會及行為科學細學類,民族事務與發展學系,D 日,B 學士,89,33,56,6,12,11,12,8,10,6,16,-,-,-,-,-,-,2,6
03199,其他社會及行為科學細學類,犯罪防治學系,D 日,D 博士,42,28,14,5,2,5,2,4,3,4,4,3,2,6,1,1,-,-,-
03199,其他社會及行為科學細學類,犯罪防治學系,D 日,M 碩士,70,20,50,5,12,3,22,6,11,4,4,2,1,-,-,-,-,-,-
03199,其他社會及行為科學細學類,犯罪防治學系,D 日,B 學士,156,49,107,9,28,13,27,13,22,13,28,-,-,-,-,-,-,1,2
03199,其他社會及行為科學細學類,犯罪防治學系,N 職,M 碩士,102,41,61,10,16,9,16,10,15,5,11,7,3,-,-,-,-,-,-
03199,其他社會及行為科學細學類,犯罪學研究所,D 日,M 碩士,46,10,36,3,12,4,10,2,9,1,5,-,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,犯罪學研究所,N 職,M 碩士,55,25,30,9,12,8,8,6,5,1,3,1,2,-,-,-,-,-,-
03199,其他社會及行為科學細學類,生命禮儀暨關懷事業系,D 日,B 學士,26,7,19,7,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,生命禮儀暨關懷事業系,N 修,C 學士,80,23,57,-,-,-,-,13,29,10,26,-,-,-,-,-,-,-,2
03199,其他社會及行為科學細學類,客家語文暨社會科學學系,D 日,B 學士,149,51,98,11,34,15,25,8,19,11,18,-,-,-,-,-,-,6,2
03199,其他社會及行為科學細學類,客家語文暨社會科學學系客家社會文化碩士班,D 日,M 碩士,17,2,15,1,7,1,3,-,1,-,4,-,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,客家語文暨社會科學學系客家政治經濟碩士班,D 日,M 碩士,17,7,10,1,2,3,3,1,5,1,-,1,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,客家語文暨社會科學學系客家研究博士班,D 日,D 博士,21,11,10,2,1,1,2,2,-,2,-,-,3,-,2,4,2,-,-
03199,其他社會及行為科學細學類,客家語文暨社會科學學系客家研究碩士在職專班,N 職,M 碩士,68,17,51,3,15,8,17,2,9,2,2,2,6,-,2,-,-,-,-
03199,其他社會及行為科學細學類,客家語文暨社會科學學系客家語文碩士班,D 日,M 碩士,24,7,17,1,6,3,3,-,1,2,5,1,2,-,-,-,-,-,-
03199,其他社會及行為科學細學類,科技與社會研究所,D 日,M 碩士,23,14,9,7,1,3,1,2,5,2,2,-,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,勞工研究所,D 日,M 碩士,83,26,57,8,16,8,15,3,13,7,13,-,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,勞動暨人力資源學系,D 日,M 碩士,61,23,38,3,9,8,11,3,2,4,4,3,9,2,3,-,-,-,-
03199,其他社會及行為科學細學類,勞動暨人力資源學系,D 日,B 學士,421,186,235,29,32,46,59,55,58,44,68,-,-,-,-,-,-,12,18
03199,其他社會及行為科學細學類,復健諮商研究所,D 日,M 碩士,21,3,18,-,7,1,6,1,3,1,2,-,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,認知科學博士學位學程,D 日,D 博士,6,2,4,-,-,1,1,-,1,-,1,1,1,-,-,-,-,-,-
03199,其他社會及行為科學細學類,學習科學研究所,D 日,M 碩士,4,2,2,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,學習科學與科技研究所,D 日,M 碩士,71,30,41,6,20,16,9,4,7,4,5,-,-,-,-,-,-,-,-
03199,其他社會及行為科學細學類,醫學人文研究所,D 日,M 碩士,15,7,8,3,2,1,2,-,2,2,1,1,1,-,-,-,-,-,-
03211,大眾傳播細學類,大眾傳播研究所,D 日,M 碩士,89,24,65,6,18,7,16,4,18,7,13,-,-,-,-,-,-,-,-
03211,大眾傳播細學類,大眾傳播學士學位學程,P 進,B 學士,454,136,318,30,88,30,74,30,79,27,57,-,-,-,-,-,-,19,20
03211,大眾傳播細學類,大眾傳播學系,D 日,M 碩士,38,11,27,2,12,5,4,4,7,-,4,-,-,-,-,-,-,-,-
03211,大眾傳播細學類,大眾傳播學系,D 日,B 學士,"2,045",709,"1,336",149,309,191,303,137,334,155,316,-,-,-,-,-,-,77,74
03211,大眾傳播細學類,大眾傳播學系,P 進,B 學士,5,2,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,2
03211,大眾傳播細學類,大眾傳播學研究所,D 日,M 碩士,72,16,56,6,19,6,14,2,14,2,8,-,1,-,-,-,-,-,-
03211,大眾傳播細學類,大眾傳播學研究所,N 職,M 碩士,53,19,34,9,9,2,14,5,8,1,-,1,3,1,-,-,-,-,-
03211,大眾傳播細學類,國際傳播英語碩士學位學程,D 日,M 碩士,52,17,35,5,8,4,12,6,11,2,4,-,-,-,-,-,-,-,-
03211,大眾傳播細學類,傳播研究所,D 日,M 碩士,75,17,58,5,18,2,19,7,14,3,7,-,-,-,-,-,-,-,-
03211,大眾傳播細學類,傳播匯流與創新管理學士學位學程,P 進,B 學士,37,17,20,-,-,-,-,-,1,13,13,-,-,-,-,-,-,4,6
03211,大眾傳播細學類,傳播與科技學系,D 日,M 碩士,47,9,38,2,15,3,13,4,9,-,1,-,-,-,-,-,-,-,-
03211,大眾傳播細學類,傳播與科技學系,D 日,B 學士,167,49,118,9,31,16,22,10,37,10,27,-,-,-,-,-,-,4,1
03211,大眾傳播細學類,傳播學系,D 日,M 碩士,23,11,12,5,11,3,1,3,-,-,-,-,-,-,-,-,-,-,-
03211,大眾傳播細學類,傳播學系,D 日,B 學士,486,174,312,37,75,47,70,39,82,34,77,-,-,-,-,-,-,17,8
03211,大眾傳播細學類,傳播學系電訊傳播碩士班,D 日,M 碩士,53,17,36,8,13,3,12,4,5,2,5,-,1,-,-,-,-,-,-
03211,大眾傳播細學類,傳播學院大一大二不分系,D 日,B 學士,414,112,302,56,132,56,170,-,-,-,-,-,-,-,-,-,-,-,-
03211,大眾傳播細學類,傳播學院博士班,D 日,D 博士,38,19,19,2,4,3,3,7,3,2,5,4,2,1,-,-,2,-,-
03211,大眾傳播細學類,傳播學院傳播碩士學位學程,D 日,M 碩士,229,47,182,8,51,12,56,18,48,9,27,-,-,-,-,-,-,-,-
03211,大眾傳播細學類,傳播學院碩士在職專班,N 職,M 碩士,94,27,67,6,20,9,16,3,14,3,10,6,7,-,-,-,-,-,-
03211,大眾傳播細學類,傳播學院碩士班,D 日,M 碩士,14,4,10,1,2,2,4,-,2,1,2,-,-,-,-,-,-,-,-
03211,大眾傳播細學類,傳播藝術系,D 日,B 學士,901,281,620,61,148,64,130,74,161,65,157,-,-,-,-,-,-,17,24
03211,大眾傳播細學類,傳播藝術系,N 修,B 學士,192,74,118,10,24,22,25,14,27,22,33,-,-,-,-,-,-,6,9
03211,大眾傳播細學類,傳播藝術系_香港二技專班,D 日,C 學士,11,6,5,-,-,-,-,4,3,2,2,-,-,-,-,-,-,-,-
03211,大眾傳播細學類,傳播藝術學士學位學程,D 日,B 學士,131,51,80,9,17,7,19,13,20,17,23,-,-,-,-,-,-,5,1
03211,大眾傳播細學類,傳播藝術學士學位學程表演藝術原住民專班,D 日,B 學士,12,5,7,2,2,-,2,1,-,2,-,-,-,-,-,-,-,-,3
03211,大眾傳播細學類,新聞與大眾傳播學士學位學程,D 日,B 學士,174,46,128,16,36,8,28,12,39,7,19,-,-,-,-,-,-,3,6
03211,大眾傳播細學類,資訊傳播系_國際學生產學合作專班,D 日,B 學士,19,16,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,3
03211,大眾傳播細學類,資訊傳播學系,D 日,B 學士,7,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2
03211,大眾傳播細學類,資訊傳播學系,N 職,M 碩士,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
03211,大眾傳播細學類,影視傳播系,D 日,B 學士,259,137,122,29,38,36,32,51,41,14,9,-,-,-,-,-,-,7,2
03212,新聞細學類,新聞研究所,D 日,M 碩士,94,27,67,10,18,6,22,8,14,3,13,-,-,-,-,-,-,-,-
03212,新聞細學類,新聞傳播學系,D 日,B 學士,251,73,178,14,47,21,48,19,40,17,42,-,-,-,-,-,-,2,1
03212,新聞細學類,新聞學系,D 日,M 碩士,61,21,40,9,15,4,11,4,3,3,7,-,2,1,2,-,-,-,-
03212,新聞細學類,新聞學系,D 日,B 學士,"1,448",399,"1,049",97,241,88,260,86,257,101,249,-,-,-,-,-,-,27,42
03212,新聞細學類,廣播與電視新聞學系,D 日,B 學士,13,1,12,-,-,-,-,1,-,-,12,-,-,-,-,-,-,-,-
03213,電子媒體細學類,國際數位媒體科技學士學位學程,D 日,B 學士,7,3,4,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03213,電子媒體細學類,新媒體暨傳播管理學系,D 日,M 碩士,27,8,19,5,11,2,7,-,1,1,-,-,-,-,-,-,-,-,-
03213,電子媒體細學類,新媒體暨傳播管理學系,D 日,B 學士,342,113,229,21,44,23,48,29,62,29,57,-,-,-,-,-,-,11,18
03213,電子媒體細學類,新媒體暨傳播管理學系,N 職,M 碩士,23,8,15,1,7,5,4,-,3,-,-,-,-,2,1,-,-,-,-
03213,電子媒體細學類,資訊傳播學系,D 日,M 碩士,17,9,8,5,5,3,2,-,-,1,1,-,-,-,-,-,-,-,-
03213,電子媒體細學類,資訊傳播學系,D 日,B 學士,527,225,302,56,82,63,74,48,65,48,77,-,-,-,-,-,-,10,4
03213,電子媒體細學類,廣播電視學系,D 日,M 碩士,47,14,33,4,12,5,6,2,8,3,6,-,1,-,-,-,-,-,-
03213,電子媒體細學類,廣播電視學系,D 日,B 學士,784,236,548,42,92,34,95,60,158,64,146,-,-,-,-,-,-,36,57
03213,電子媒體細學類,廣播電視學系,N 職,M 碩士,37,23,14,7,4,7,3,3,5,2,1,1,1,3,-,-,-,-,-
03213,電子媒體細學類,廣播電視學系,N 修,C 學士,83,27,56,-,-,-,-,15,24,9,29,-,-,-,-,-,-,3,3
03213,電子媒體細學類,廣播電視學系,P 進,B 學士,149,29,120,10,29,7,28,2,36,7,22,-,-,-,-,-,-,3,5
03213,電子媒體細學類,影像傳播學系,D 日,B 學士,282,86,196,19,48,20,48,18,44,22,43,-,-,-,-,-,-,7,13
03214,傳播細學類,口語傳播暨社群媒體學系,D 日,M 碩士,21,8,13,2,8,3,4,2,-,1,1,-,-,-,-,-,-,-,-
03214,傳播細學類,口語傳播暨社群媒體學系,D 日,B 學士,486,128,358,35,83,25,88,27,90,32,86,-,-,-,-,-,-,9,11
03214,傳播細學類,口語傳播暨社群媒體學系,N 職,M 碩士,31,13,18,4,6,4,1,1,5,1,4,1,2,2,-,-,-,-,-
03214,傳播細學類,全媒體學士學位學程,P 進,B 學士,234,88,146,36,45,17,24,14,37,16,33,-,-,-,-,-,-,5,7
03214,傳播細學類,傳播產製英語學士學位學程,D 日,B 學士,17,6,11,-,-,2,3,1,2,3,6,-,-,-,-,-,-,-,-
03214,傳播細學類,傳播博士學位學程,D 日,D 博士,48,24,24,7,3,4,4,3,5,4,4,3,4,1,-,2,4,-,-
03214,傳播細學類,傳播學系,D 日,M 碩士,36,10,26,3,11,4,7,1,5,2,3,-,-,-,-,-,-,-,-
03214,傳播細學類,傳播學系,D 日,B 學士,414,143,271,30,65,33,65,34,60,41,75,-,-,-,-,-,-,5,6
03214,傳播細學類,新聞學系,D 日,B 學士,109,31,78,-,-,-,-,11,24,13,40,-,-,-,-,-,-,7,14
03214,傳播細學類,資訊傳播系,D 日,B 學士,434,179,255,44,65,43,63,43,61,37,62,-,-,-,-,-,-,12,4
03214,傳播細學類,資訊傳播系,N 修,B 學士,106,60,46,3,8,11,11,19,10,15,15,-,-,-,-,-,-,12,2
03214,傳播細學類,資訊傳播系_香港二技專班,D 日,C 學士,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
03214,傳播細學類,資訊傳播系碩士班,D 日,M 碩士,21,5,16,2,6,2,3,-,5,1,1,-,1,-,-,-,-,-,-
03214,傳播細學類,資訊傳播與行銷系,D 日,B 學士,54,20,34,4,11,9,9,3,4,4,9,-,-,-,-,-,-,-,1
03214,傳播細學類,資訊傳播與行銷系,N 修,B 學士,65,40,25,9,7,8,1,15,8,4,7,-,-,-,-,-,-,4,2
03214,傳播細學類,資訊傳播與行銷系,N 修,C 學士,58,30,28,-,-,-,-,13,12,14,16,-,-,-,-,-,-,3,-
03214,傳播細學類,資訊傳播與行銷科,N 修,2 二專,22,13,9,-,-,2,8,-,-,-,-,-,-,-,-,-,-,11,1
03214,傳播細學類,資訊傳播學系,D 日,M 碩士,35,17,18,2,10,8,4,5,2,2,1,-,1,-,-,-,-,-,-
03214,傳播細學類,資訊傳播學系,D 日,B 學士,"1,185",507,678,112,166,113,171,133,144,102,180,-,-,-,-,-,-,47,17
03214,傳播細學類,資訊傳播學系,N 職,M 碩士,27,14,13,1,3,3,3,2,3,6,-,-,3,2,1,-,-,-,-
03214,傳播細學類,運動資訊傳播學系,D 日,B 學士,253,138,115,34,24,38,33,30,28,28,30,-,-,-,-,-,-,8,-
03214,傳播細學類,圖文傳播暨數位出版學系,D 日,M 碩士,12,5,7,3,5,1,1,-,1,1,-,-,-,-,-,-,-,-,-
03214,傳播細學類,圖文傳播暨數位出版學系,D 日,B 學士,477,107,370,23,84,31,85,25,92,24,92,-,-,-,-,-,-,4,17
03214,傳播細學類,圖文傳播暨數位出版學系,N 職,M 碩士,2,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
03214,傳播細學類,圖文傳播暨數位出版學系,P 進,B 學士,188,52,136,19,49,8,30,11,29,14,28,-,-,-,-,-,-,-,-
03214,傳播細學類,圖文傳播學系,D 日,M 碩士,68,19,49,3,23,8,14,8,5,-,7,-,-,-,-,-,-,-,-
03214,傳播細學類,圖文傳播學系,D 日,B 學士,192,42,150,10,39,8,39,9,35,11,31,-,-,-,-,-,-,4,6
03214,傳播細學類,圖文傳播學系,N 職,M 碩士,96,25,71,5,21,5,13,9,13,4,15,1,3,1,6,-,-,-,-
03221,博物館細學類,博物館管理與科技應用碩士在職學位學程,N 職,M 碩士,5,1,4,1,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-
03221,博物館細學類,博物館學研究所,D 日,M 碩士,60,9,51,2,15,3,14,3,11,1,11,-,-,-,-,-,-,-,-
03222,圖書資訊檔案細學類,資訊與圖書館學系,D 日,M 碩士,23,7,16,4,6,1,3,2,3,-,4,-,-,-,-,-,-,-,-
03222,圖書資訊檔案細學類,資訊與圖書館學系,D 日,B 學士,452,136,316,33,80,31,85,35,80,32,64,-,-,-,-,-,-,5,7
03222,圖書資訊檔案細學類,資訊與圖書館學系數位學習碩士在職專班,N 職,M 碩士,11,2,9,1,6,1,3,-,-,-,-,-,-,-,-,-,-,-,-
03222,圖書資訊檔案細學類,圖書資訊與檔案學研究所,D 日,D 博士,16,4,12,1,2,-,2,-,-,2,2,1,1,-,2,-,3,-,-
03222,圖書資訊檔案細學類,圖書資訊與檔案學研究所,D 日,M 碩士,57,17,40,7,18,7,17,3,2,-,3,-,-,-,-,-,-,-,-
03222,圖書資訊檔案細學類,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,N 職,M 碩士,56,15,41,4,19,8,15,3,5,-,1,-,1,-,-,-,-,-,-
03222,圖書資訊檔案細學類,圖書資訊學系,D 日,D 博士,17,8,9,-,1,1,2,2,-,1,2,-,-,2,2,2,2,-,-
03222,圖書資訊檔案細學類,圖書資訊學系,D 日,M 碩士,84,13,71,3,21,-,19,3,9,7,22,-,-,-,-,-,-,-,-
03222,圖書資訊檔案細學類,圖書資訊學系,D 日,B 學士,433,109,324,29,83,23,84,20,69,24,76,-,-,-,-,-,-,13,12
03222,圖書資訊檔案細學類,圖書資訊學系,P 進,B 學士,89,34,55,-,-,-,1,9,20,12,21,-,-,-,-,-,-,13,13
03222,圖書資訊檔案細學類,圖書資訊學研究所,D 日,D 博士,10,4,6,2,-,-,2,1,3,1,1,-,-,-,-,-,-,-,-
03222,圖書資訊檔案細學類,圖書資訊學研究所,D 日,M 碩士,89,26,63,10,19,10,20,4,13,2,10,-,1,-,-,-,-,-,-
03222,圖書資訊檔案細學類,圖書資訊學研究所圖書資訊學碩士在職專班,N 職,M 碩士,10,4,6,-,-,-,-,1,3,1,1,-,-,2,2,-,-,-,-
03222,圖書資訊檔案細學類,圖書資訊學研究所圖書資訊學數位學習碩士在職專班,N 職,M 碩士,60,9,51,5,25,3,14,1,12,-,-,-,-,-,-,-,-,-,-
03222,圖書資訊檔案細學類,數位出版與典藏數位學習碩士在職專班,N 職,M 碩士,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,理財經營管理系,D 日,B 學士,14,6,8,-,-,-,-,2,5,3,3,-,-,-,-,-,-,1,-
04111,會計及稅務細學類,理財與稅務規劃系,D 日,B 學士,229,103,126,16,27,35,28,22,36,21,23,-,-,-,-,-,-,9,12
04111,會計及稅務細學類,理財與稅務規劃學系,D 日,B 學士,129,75,54,19,17,29,11,19,14,7,12,-,-,-,-,-,-,1,-
04111,會計及稅務細學類,會計系,D 日,B 學士,805,247,558,45,116,64,136,60,132,61,155,-,-,-,-,-,-,17,19
04111,會計及稅務細學類,會計系博士班,D 日,D 博士,14,8,6,-,1,2,1,1,1,-,-,1,3,3,-,1,-,-,-
04111,會計及稅務細學類,會計系碩士在職專班,N 職,M 碩士,37,9,28,8,12,-,11,-,4,1,1,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計系碩士班,D 日,M 碩士,52,16,36,9,25,5,8,1,3,1,-,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計研究所,D 日,M 碩士,30,10,20,4,11,6,8,-,1,-,-,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計研究所企業資源規劃會計碩士在職專班,N 職,M 碩士,44,10,34,6,13,4,16,-,3,-,1,-,1,-,-,-,-,-,-
04111,會計及稅務細學類,會計資訊系,D 日,M 碩士,4,-,4,-,-,-,-,-,1,-,2,-,-,-,1,-,-,-,-
04111,會計及稅務細學類,會計資訊系,D 日,B 學士,"2,455",771,"1,684",158,357,186,365,191,440,179,431,-,-,-,-,-,-,57,91
04111,會計及稅務細學類,會計資訊系,D 日,C 學士,146,30,116,-,-,-,-,16,52,12,59,-,-,-,-,-,-,2,5
04111,會計及稅務細學類,會計資訊系,N 修,B 學士,698,215,483,53,111,60,112,51,111,33,108,-,-,-,-,-,-,18,41
04111,會計及稅務細學類,會計資訊系,N 修,C 學士,174,31,143,-,-,-,-,10,62,15,69,-,-,-,-,-,-,6,12
04111,會計及稅務細學類,會計資訊系_外國學生專班,D 日,B 學士,90,25,65,14,26,8,16,3,23,-,-,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計資訊系_多元培力專班,N 修,B 學士,6,6,-,-,-,5,-,1,-,-,-,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計資訊系_新南向國家財金國際學生產學合作專班,D 日,B 學士,30,17,13,-,-,-,-,-,-,17,13,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計資訊系_會計產業實務專班,D 日,B 學士,97,24,73,7,25,6,22,11,24,-,-,-,-,-,-,-,-,-,2
04111,會計及稅務細學類,會計資訊系_會計稅務實務產業碩士專班,D 日,M 碩士,16,5,11,3,5,2,6,-,-,-,-,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計資訊系會計財稅碩士班,D 日,M 碩士,15,5,10,2,4,3,6,-,-,-,-,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計資訊系碩士在職專班,N 職,M 碩士,62,12,50,6,16,4,21,1,10,1,2,-,-,-,1,-,-,-,-
04111,會計及稅務細學類,會計資訊系碩士班,D 日,M 碩士,87,45,42,18,16,20,19,4,3,3,4,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計資訊科,D 日,5 五專,647,118,529,25,104,18,114,22,102,27,102,16,91,-,-,-,-,10,16
04111,會計及稅務細學類,會計資訊學系,D 日,B 學士,533,221,312,54,63,61,63,51,80,47,96,-,-,-,-,-,-,8,10
04111,會計及稅務細學類,會計資訊學系,P 進,B 學士,8,2,6,-,-,-,-,-,2,2,4,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計暨稅務學系,D 日,B 學士,166,51,115,13,29,10,38,13,25,14,19,-,-,-,-,-,-,1,4
04111,會計及稅務細學類,會計與資料科學科,D 日,5 五專,237,64,173,13,30,16,34,14,35,12,34,7,38,-,-,-,-,2,2
04111,會計及稅務細學類,會計與資訊科技學系,D 日,D 博士,17,10,7,1,-,1,2,1,2,2,1,2,2,2,-,1,-,-,-
04111,會計及稅務細學類,會計與資訊科技學系,D 日,M 碩士,64,37,27,17,14,13,13,6,-,1,-,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計與資訊科技學系,D 日,B 學士,222,88,134,24,22,20,34,20,38,23,40,-,-,-,-,-,-,1,-
04111,會計及稅務細學類,會計與資訊科技學系,N 職,M 碩士,53,20,33,3,15,11,15,3,2,1,-,2,1,-,-,-,-,-,-
04111,會計及稅務細學類,會計與資訊科技學系會計與法律數位學習碩士在職專班,N 職,M 碩士,62,26,36,12,19,10,16,1,1,2,-,1,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計與資訊學系,D 日,M 碩士,13,1,12,-,10,-,1,1,-,-,1,-,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計與資訊學系,D 日,B 學士,268,74,194,16,41,17,44,12,55,28,50,-,-,-,-,-,-,1,4
04111,會計及稅務細學類,會計學系,D 日,D 博士,44,25,19,5,5,4,4,4,-,3,2,5,2,2,2,2,4,-,-
04111,會計及稅務細學類,會計學系,D 日,M 碩士,900,409,491,200,255,183,215,19,12,6,9,1,-,-,-,-,-,-,-
04111,會計及稅務細學類,會計學系,D 日,B 學士,"9,726","3,489","6,237",843,"1,449",848,"1,478",832,"1,593",762,"1,541",-,-,-,-,-,-,204,176
04111,會計及稅務細學類,會計學系,N 職,M 碩士,218,63,155,22,62,21,69,6,6,4,6,5,3,5,9,-,-,-,-
04111,會計及稅務細學類,會計學系,P 進,B 學士,41,17,24,-,-,3,4,1,2,10,16,-,-,-,-,-,-,3,2
04111,會計及稅務細學類,會計學系企業高階管理碩士在職專班,N 職,M 碩士,117,60,57,30,30,29,26,1,1,-,-,-,-,-,-,-,-,-,-
04121,財務金融細學類,東南亞經貿與數位金融管理學士學位學程,D 日,B 學士,25,12,13,-,-,3,7,4,5,5,1,-,-,-,-,-,-,-,-
04121,財務金融細學類,金融系,D 日,B 學士,445,155,290,42,71,39,73,36,74,36,70,-,-,-,-,-,-,2,2
04121,財務金融細學類,金融系,D 日,C 學士,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
04121,財務金融細學類,金融系,N 修,B 學士,78,29,49,19,24,10,25,-,-,-,-,-,-,-,-,-,-,-,-
04121,財務金融細學類,金融系_大陸深圳境外碩士在職專班,N 職,M 碩士,5,4,1,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-
04121,財務金融細學類,金融系_金融暨創新管理境外碩士在職專班,N 職,M 碩士,7,2,5,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-
04121,財務金融細學類,金融系碩士在職專班,N 職,M 碩士,47,27,20,14,16,7,2,2,2,2,-,2,-,-,-,-,-,-,-
04121,財務金融細學類,金融系碩士班,D 日,M 碩士,49,19,30,10,16,7,10,1,3,1,1,-,-,-,-,-,-,-,-
04121,財務金融細學類,金融創新產業碩士專班,D 日,M 碩士,28,16,12,7,5,8,7,1,-,-,-,-,-,-,-,-,-,-,-
04121,財務金融細學類,金融博士學位學程,D 日,D 博士,41,27,14,6,8,6,3,9,1,-,-,2,1,1,-,3,1,-,-
04121,財務金融細學類,金融資訊系,D 日,B 學士,212,105,107,22,26,24,30,28,29,25,20,-,-,-,-,-,-,6,2
04121,財務金融細學類,金融資訊系,N 修,B 學士,203,93,110,20,32,21,30,30,18,20,26,-,-,-,-,-,-,2,4
04121,財務金融細學類,金融資訊系,N 修,C 學士,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
04121,財務金融細學類,金融資訊系碩士在職專班,N 職,M 碩士,68,19,49,8,25,11,23,-,-,-,1,-,-,-,-,-,-,-,-
04121,財務金融細學類,金融資訊系碩士班,D 日,M 碩士,38,15,23,9,14,6,6,-,1,-,2,-,-,-,-,-,-,-,-
04121,財務金融細學類,金融碩士在職專班,N 職,M 碩士,5,4,1,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-
04121,財務金融細學類,金融碩士在職學位學程,N 職,M 碩士,47,22,25,12,15,8,10,-,-,1,-,1,-,-,-,-,-,-,-
04121,財務金融細學類,金融管理系,D 日,B 學士,820,385,435,87,98,87,90,85,103,87,134,-,-,-,-,-,-,39,10
